GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Rheinland-Pfalz;2015;September;109037;5,0;5,5;29258
Rheinland-Pfalz;2015;Oktober;105525;4,8;5,4;30164
Rheinland-Pfalz;2015;November;105209;4,8;5,3;30285
Rheinland-Pfalz;2015;Dezember;108290;5,0;5,5;29601
Rheinland-Pfalz;2016;Januar;121103;5,6;6,2;29218
Rheinland-Pfalz;2016;Februar;120261;5,5;6,1;30783
Rheinland-Pfalz;2016;März;117300;5,4;6,0;32075
Rheinland-Pfalz;2016;April;112192;5,2;5,7;32573
Rheinland-Pfalz;2016;Mai;108539;5,0;5,5;32711
Rheinland-Pfalz;2016;Juni;107080;4,9;5,4;33536
Rheinland-Pfalz;2016;Juli;110152;5,0;5,5;34245
Rheinland-Pfalz;2016;August;112935;5,2;5,7;34362
Rheinland-Pfalz;2016;September;107614;4,9;5,4;34092
Rheinland-Pfalz;2016;Oktober;105522;4,8;5,3;35068
Rheinland-Pfalz;2016;November;106168;4,8;5,3;34449
Rheinland-Pfalz;2016;Dezember;...;...;...;...
Saarland;2015;Januar;38301;7,5;8,1;5584
Saarland;2015;Februar;38215;7,5;8,1;6074
Saarland;2015;März;37748;7,4;8,0;6411
Saarland;2015;April;37399;7,3;7,9;6509
Saarland;2015;Mai;36557;7,1;7,6;6536
Saarland;2015;Juni;36038;7,0;7,5;6615
Saarland;2015;Juli;37036;7,2;7,7;6642
Saarland;2015;August;37611;7,3;7,9;6717
Saarland;2015;September;36729;7,1;7,7;6577
Saarland;2015;Oktober;35610;6,9;7,4;6716
Saarland;2015;November;35435;6,9;7,4;6611
Saarland;2015;Dezember;36057;7,0;7,5;6323
Saarland;2016;Januar;39107;7,6;8,2;6556
Saarland;2016;Februar;39494;7,7;8,2;6696
Saarland;2016;März;39004;7,6;8,1;7000
Saarland;2016;April;37998;7,4;7,9;7045
Saarland;2016;Mai;37306;7,2;7,8;7057
Saarland;2016;Juni;37141;7,2;7,7;7285
